Soil_Type,Soil_Moisture_%,Shear_Strength_kPa,Bearing_Capacity_kPa,Excavation_Depth_m,Retaining_Wall_Type,Support_System,Deformation_mm,Rainfall_mm_day,Temperature_C,Groundwater_Level_m,Seismic_Activity,Ground_Settlement_mm,Wall_Displacement_mm,Pore_Water_Pressure_kPa,Strain_Gauge,Risk_Level
Silt,22.45404285,179.7704463,513.7594611,10.73602782,Sheet Pile,Bracing,3.503434786,95.4292752,2.645510397,6.546211935,1,70.92720117,47.24177265,357.8943518,50.00923358,2
Rock,18.40240916,169.7954694,482.2638973,24.67128843,Sheet Pile,Bracing,2.831277869,26.17622771,18.37702332,7.093142948,0,53.21111338,38.98043213,146.9944783,10.33004778,2
Clay,12.73819041,56.41051645,386.7644757,29.9254233,Diaphragm Wall,Anchors,6.018907475,47.11318692,3.942156429,5.861823541,0,47.78770771,30.10509151,238.8446352,19.76477811,2
Silt,25.34487549,135.3119569,578.0235718,3.810702144,Sheet Pile,Bracing,29.03842918,186.5007906,41.72955156,3.572419682,0,22.34943143,22.74801587,134.6785907,47.96319562,1
Silt,22.11827931,145.0489047,200.2372578,27.22887838,Diaphragm Wall,Bracing,46.43817106,171.9005951,39.82691824,5.770533417,1,70.55957898,17.80892672,53.73717851,88.75889907,2
Rock,9.065423484,149.7056952,154.6321052,19.81102441,Diaphragm Wall,Bracing,24.8371714,141.95701,21.17433578,3.422655928,0,19.08094914,47.35437735,486.525812,56.63907206,2
Clay,27.77317961,195.0430923,526.9809835,29.28133072,Sheet Pile,Bracing,42.14727412,96.44504607,9.493319559,0.838737386,0,55.2841796,30.14544057,244.2663404,68.15350002,2
Clay,25.56343107,183.4006367,319.5749083,15.55525697,Diaphragm Wall,Bracing,22.29433099,104.0647252,10.96307851,9.928039782,1,25.3245363,28.95362638,486.2073265,33.90285497,2
Silt,28.74499783,201.9762732,523.4844271,25.87947413,Secant Pile,Bracing,35.42917729,195.0489071,12.65187557,1.271824536,1,95.56213798,11.59505609,113.1455839,57.1411393,2
Sand,23.14298771,241.2208154,546.5451026,4.684639852,Sheet Pile,Bracing,36.59363686,193.1540888,30.01686272,0.723483838,1,2.863119384,2.334890894,314.3150508,44.73798226,2
